pid,name,username,status,create_time,cpu_times,memory_info,memory_percent
1668,svchost.exe,,running,2023-12-14 12:04:51,5:57:59.781778,"pmem(rss=19214336, vms=12070912, num_page_faults=309300, peak_wset=20316160, wset=19214336, peak_paged_pool=338384, paged_pool=205728, peak_nonpaged_pool=34816, nonpaged_pool=22176, pagefile=12070912, peak_pagefile=12963840, private=12070912)",0.11614971254741253
1752,svchost.exe,,running,2023-12-14 12:04:51,5:57:59.777812,"pmem(rss=9539584, vms=3608576, num_page_faults=4884, peak_wset=10649600, wset=9539584, peak_paged_pool=147736, paged_pool=129520, peak_nonpaged_pool=22192, nonpaged_pool=14144, pagefile=3608576, peak_pagefile=24813568, private=3608576)",0.05766631433019053
1912,Plex Update Service.exe,,running,2023-12-14 12:07:03,5:55:47.696017,"pmem(rss=9367552, vms=3403776, num_page_faults=3607, peak_wset=12357632, wset=9367552, peak_paged_pool=142456, paged_pool=142184, peak_nonpaged_pool=15744, nonpaged_pool=14520, pagefile=3403776, peak_pagefile=3780608, private=3403776)",0.05662638938305957
1992,svchost.exe,,running,2023-12-14 12:04:52,5:57:58.345871,"pmem(rss=5079040, vms=1171456, num_page_faults=1769, peak_wset=5681152, wset=5079040, peak_paged_pool=59000, paged_pool=58728, peak_nonpaged_pool=13184, nonpaged_pool=11960, pagefile=1171456, peak_pagefile=1474560, private=1171456)",0.030702546058152105
2000,svchost.exe,,running,2023-12-14 12:04:52,5:57:58.356859,"pmem(rss=10170368, vms=2924544, num_page_faults=8479, peak_wset=12169216, wset=10170368, peak_paged_pool=179368, paged_pool=105040, peak_nonpaged_pool=39024, nonpaged_pool=13384, pagefile=2924544, peak_pagefile=3973120, private=2924544)",0.061479372469670716
2028,svchost.exe,,running,2023-12-14 12:04:52,5:57:58.367788,"pmem(rss=11354112, vms=7929856, num_page_faults=10492, peak_wset=11374592, wset=11354112, peak_paged_pool=59552, paged_pool=59280, peak_nonpaged_pool=43456, nonpaged_pool=41600, pagefile=7929856, peak_pagefile=8015872, private=7929856)",0.06863504651064326
2120,atieclxx.exe,,running,2023-12-14 14:18:13,3:44:38.221160,"pmem(rss=15876096, vms=4694016, num_page_faults=9135, peak_wset=17145856, wset=15876096, peak_paged_pool=240904, paged_pool=231768, peak_nonpaged_pool=26384, nonpaged_pool=17184, pagefile=4694016, peak_pagefile=4767744, private=4694016)",0.09597021654951417
2164,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.391512,"pmem(rss=10547200, vms=3276800, num_page_faults=6129, peak_wset=11698176, wset=10547200, peak_paged_pool=104312, paged_pool=103128, peak_nonpaged_pool=136488, nonpaged_pool=14568, pagefile=3276800, peak_pagefile=4493312, private=3276800)",0.0637573033062433
2276,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.408517,"pmem(rss=20193280, vms=10457088, num_page_faults=34561, peak_wset=24948736, wset=20193280, peak_paged_pool=199768, paged_pool=196144, peak_nonpaged_pool=728984, nonpaged_pool=25616, pagefile=10457088, peak_pagefile=18059264, private=10457088)",0.12206738069894345
2376,pwsh.exe,HAL-9000\PrisonMike,running,2023-12-14 17:38:43,0:24:08.130517,"pmem(rss=98590720, vms=53993472, num_page_faults=33614, peak_wset=100585472, wset=98590720, peak_paged_pool=448888, paged_pool=434648, peak_nonpaged_pool=234664, nonpaged_pool=65304, pagefile=53993472, peak_pagefile=55271424, private=53993472)",0.5959760351771946
